id,distance,ts,x,y,w,h,ts_ir,x_ir,y_ir,w_ir,h_ir,temperatureAvg,temperatureSdv,temperatureMin,temperatureMax,temperatureAvgExt,temperatureSdvExt,mappingError,markup
913,509.0908,1644573871935,0.5020834,0.3407407,0.02291667,0.05185184,1644573871744,0.4817709,0.3576389,0.04947916,0.08333334,0,0,0,0,1487.766,195.7852,0.09254544,-1
913,622.2219,1644573872056,0.5104167,0.3444445,0.01875001,0.04444444,1644573871945,0.484375,0.3611111,0.046875,0.0763889,1324.132,312.9141,911,1791,1487.047,198.6381,0.09254544,-1
913,622.2219,1644573872056,0.5104167,0.3444445,0.01875001,0.04444444,1644573872144,0.5,0.3645833,0.0390625,0.06944445,2453.249,449.643,1550,2953,1483.235,216.6491,0.09254544,-1
913,622.2219,1644573872502,0.5270833,0.3481481,0.01875001,0.04444444,1644573872345,0.5208333,0.3680556,0.0390625,0.06944445,2572.188,404.2951,1432,2937,1418.423,351.0305,0.09254544,-1
913,622.2219,1644573872611,0.5229167,0.3555556,0.01875001,0.04074073,1644573872545,0.5286458,0.375,0.0390625,0.06597221,1421.85,1017.471,527,2925,1488.57,256.4794,0.09254544,-1
913,622.2219,1644573872611,0.5229167,0.3555556,0.01875001,0.04074073,1644573872746,0.5234375,0.3819444,0.0390625,0.0625,1180.125,908.4677,543,2940,1479.578,269.3683,0.09254544,-1
913,622.2219,1644573872611,0.5229167,0.3555556,0.01875001,0.04074073,1644573872946,0.5234375,0.3819444,0.0390625,0.0625,1174.453,792.0911,509,2962,1434.978,386.3605,0.09254544,-1
914,430.7692,1644573873475,0.4729167,0.3777778,0.02708334,0.06666666,1644573873346,0.4244792,0.4131944,0.05729166,0.1041667,1571.631,1044.372,479,3030,1437.055,286.4806,0.09254544,-1
914,373.3334,1644573873584,0.4666667,0.3740741,0.03125,0.07037038,1644573873545,0.4166667,0.4097222,0.0625,0.1076389,1516.505,1056.875,474,3054,1445.929,275.2422,0.09254544,-1
914,373.3334,1644573873838,0.4583333,0.4,0.03125,0.06666666,1644573873745,0.4010417,0.4340278,0.06510416,0.1041667,1264.464,803.9635,509,3070,1545.436,476.224,0.09254544,-1
914,311.1112,1644573874106,0.4520833,0.4074074,0.03749999,0.08518517,1644573873944,0.3880208,0.46875,0.0625,0.1145833,1944.927,1058.844,600,3101,1438.401,287.1294,0.09254544,-1
914,294.7369,1644573874307,0.4604167,0.4111111,0.03958333,0.08888888,1644573874146,0.3854167,0.4583333,0.078125,0.1354167,2144.065,975.7533,614,3131,1443.781,278.0279,0.09254544,-1
914,294.7367,1644573874404,0.4666667,0.4111111,0.03958336,0.08888888,1644573874346,0.4036458,0.4652778,0.08333334,0.1354167,1936.7,920.1793,630,3143,1547.907,406.1912,0.09254544,-1
914,280.0001,1644573874669,0.4791667,0.4259259,0.04166666,0.09259257,1644573874545,0.4296875,0.4756944,0.08333331,0.1423611,2628.891,601.4084,659,3141,1443.929,263.0768,0.09254544,-1
914,280.0001,1644573874878,0.4833333,0.4481482,0.04166666,0.09629628,1644573874744,0.4375,0.4930556,0.08854169,0.1458333,2783.702,269.2679,1866,3155,1457.471,238.4719,0.09254544,-1
914,266.6667,1644573874986,0.4875,0.4555556,0.04374999,0.09629631,1644573874945,0.4505209,0.5243056,0.08854166,0.1493056,2750.719,318.2452,1778,3139,1481.458,211.6605,0.09254544,-1
914,266.6667,1644573874986,0.4875,0.4555556,0.04374999,0.09629631,1644573875145,0.453125,0.53125,0.08854169,0.1458333,1976.625,598.3358,1213,2955,1430.54,149.6367,0.09254544,-1
914,266.6667,1644573874986,0.4875,0.4555556,0.04374999,0.09629631,1644573875344,0.453125,0.53125,0.08854169,0.1458333,1685.541,253.5103,1324,2035,1443.265,183.0317,0.09254544,-1
915,355.5556,1644574113979,0.64375,0.2814815,0.02916664,0.06666666,1644574113948,0.7630209,0.2708333,0.05989581,0.1041667,0,0,0,0,1420.341,30.88641,0.002670337,-1
915,355.5556,1644574113979,0.64375,0.2814815,0.02916664,0.06666666,1644574114148,0.7630209,0.2708333,0.05989581,0.1041667,0,0,0,0,1418.821,30.93775,0.002670337,-1
915,355.5556,1644574113979,0.64375,0.2814815,0.02916664,0.06666666,1644574114347,0.7630209,0.2708333,0.05989581,0.1041667,0,0,0,0,1418.889,30.64706,0.002670337,-1
916,560.0005,1644574116242,0.5166667,0.3037037,0.02083331,0.04814816,1644574116148,0.5104167,0.3055556,0.04427081,0.07291666,1457.323,962.7877,530,2812,1470.443,271.4319,0.09254544,-1
916,560.0005,1644574116242,0.5166667,0.3037037,0.02083331,0.04814816,1644574116350,0.5104167,0.3055556,0.04427081,0.07291666,1537.723,893.9456,543,2803,1452.285,370.2242,0.09254544,-1
916,560.0005,1644574116242,0.5166667,0.3037037,0.02083331,0.04814816,1644574116549,0.5104167,0.3055556,0.04427081,0.07291666,1420.863,960.3824,535,2806,1473.819,299.1788,0.09254544,-1
917,559.9998,1644574117073,0.4895833,0.3111111,0.02083334,0.04814816,1644574116949,0.4583333,0.3159722,0.04427084,0.07291666,1535.148,959.8282,548,2862,1444.737,288.9589,0.09254544,-1
917,559.9998,1644574117073,0.4895833,0.3111111,0.02083334,0.04814816,1644574117149,0.4583333,0.3159722,0.04427084,0.07291666,1297.988,946.6111,527,2862,1484.352,281.0152,0.09254544,-1
917,559.9998,1644574117073,0.4895833,0.3111111,0.02083334,0.04814816,1644574117350,0.4583333,0.3159722,0.04427084,0.07291666,1116.545,819.7737,509,2907,1564.081,375.9326,0.09254544,-1
918,430.7692,1644574117720,0.4583333,0.3037037,0.02708334,0.06296298,1644574117550,0.3958333,0.3055556,0.0546875,0.09375,1301.704,957.3372,509,2938,1463.374,273.2917,0.09254544,-1
