id,distance,ts,x,y,w,h,ts_ir,x_ir,y_ir,w_ir,h_ir,temperatureAvg,temperatureSdv,temperatureMin,temperatureMax,temperatureAvgExt,temperatureSdvExt,mappingError,markup
19,NaN,1643979552321,0.5083333,0.5555556,0.1208333,0.162963,1643979552122,0.4765625,0.7256944,0.2421875,0.2465278,3268.969,82.72973,2649,3464,2273.775,712.0571,0.1218554,-1
19,NaN,1643979552419,0.5145833,0.5296296,0.1291667,0.162963,1643979552323,0.4765625,0.7256944,0.2421875,0.2465278,2838.841,644.4908,1417,3451,2293.681,696.8102,0.1218554,-1
19,NaN,1643979552700,0.5458333,0.5037037,0.1125,0.2074074,1643979552521,0.5078125,0.6736111,0.2473958,0.2604167,3257.933,113.4305,2608,3445,2024.925,605.717,0.1218554,-1
19,NaN,1643979552884,0.5520833,0.4925926,0.1083333,0.2148148,1643979552720,0.5520833,0.6458333,0.2265625,0.3159722,3146.954,372.9473,1499,3438,2052.45,592.8986,0.1218554,-1
19,NaN,1643979553084,0.5479167,0.4888889,0.1041667,0.2148148,1643979552923,0.5625,0.6284722,0.2161458,0.3298611,3231.941,120.5932,2521,3420,2048.501,582.075,0.1218554,-1
19,NaN,1643979553277,0.5333334,0.4851852,0.1020833,0.2074074,1643979553122,0.5494792,0.625,0.2083333,0.3229166,2986.693,551.1353,1515,3418,2072.6,611.4066,0.1218554,-1
19,NaN,1643979553450,0.5145833,0.4851852,0.09791666,0.1962963,1643979553321,0.515625,0.6215278,0.2057292,0.3090278,3019.391,559.1504,1517,3413,2061.052,619.1119,0.1218554,-1
19,NaN,1643979553663,0.5020834,0.5074074,0.09583336,0.1814815,1643979553521,0.4791667,0.6284722,0.1979167,0.2951389,3230.792,101.4636,2568,3388,2014.976,615.3076,0.1218554,-1
19,NaN,1643979553817,0.5,0.5148148,0.08541667,0.1740741,1643979553721,0.4609375,0.65625,0.1875,0.2708334,3233.985,74.7893,2929,3381,2100.851,641.3475,0.1218554,-1
19,NaN,1643979554103,0.5020834,0.5296296,0.08749998,0.1666667,1643979553921,0.4583333,0.6736111,0.1770833,0.2534722,3221.526,98.29322,2545,3379,2136.936,648.6493,0.1218554,-1
19,NaN,1643979554205,0.5,0.5407407,0.08958334,0.1555555,1643979554122,0.4635416,0.6909722,0.1770833,0.25,3209.785,114.3843,2200,3372,2202.139,664.3224,0.1218554,-1
19,NaN,1643979554486,0.50625,0.5481482,0.08958334,0.1444445,1643979554321,0.4635416,0.7152778,0.1770833,0.2222222,3233.777,91.00293,2547,3374,2231.615,661.6848,0.1218554,-1
19,NaN,1643979554646,0.5083333,0.5481482,0.08958334,0.1444445,1643979554521,0.4713542,0.7152778,0.1822917,0.21875,3138.997,312.3885,1557,3356,2249.638,674.0162,0.1218554,-1
