,temperatureAvg,markup,id
0,0.734466,0,0
1,0.610840,0,1
2,0.092170,0,2
3,-1.030709,0,3
4,-1.344064,0,4
5,-1.471525,0,5
6,0.966392,1,6
7,-0.998406,0,7
8,0.308377,0,8
9,-1.191045,0,9
10,0.537993,0,10
11,0.781598,0,11
12,0.311735,0,12
13,1.466266,1,13
14,0.976103,0,14
15,0.474954,0,15
16,-1.232455,0,16
17,0.009217,0,17
18,-1.235974,0,18
19,0.730210,0,19
20,-2.139794,0,20
21,-1.085464,0,21
22,-0.525551,0,22
23,-1.185264,0,23
24,0.531496,0,24
25,-1.561592,0,25
26,-0.182968,0,26
27,-1.763956,0,27
28,-0.467975,0,28
29,0.306996,0,29
30,-1.258291,0,30
31,0.178839,0,31
32,0.469263,0,32
33,-0.739975,0,33
34,-0.305964,0,34
35,-0.431525,0,35
36,-1.011848,0,36
37,0.008058,0,37
38,0.720428,0,38
39,-0.266528,0,39
40,0.798036,0,40
41,0.998177,1,41
42,-0.141634,0,42
43,-0.156349,0,43
44,0.785142,0,44
45,-1.735081,0,45
46,-0.537659,0,46
47,-0.515105,0,47
48,-0.268857,0,48
49,-0.117582,0,49
50,1.075790,1,50
51,-0.720343,0,51
52,1.187116,1,52
53,-0.020375,0,53
54,-2.117482,0,54
55,-0.422461,0,55
56,-0.555385,0,56
57,0.270568,0,57
58,0.023766,0,58
59,-0.957018,0,59
60,-0.339293,0,60
61,0.874974,1,61
62,-0.403210,0,62
63,-0.447520,0,63
64,0.101290,0,64
65,-1.292565,0,65
66,-1.496067,0,66
67,-1.348890,0,67
68,-0.520194,0,68
69,-1.347561,0,69
70,-0.955859,0,70
71,-1.273136,0,71
72,-1.077787,0,72
73,-0.164749,0,73
74,0.142046,0,74
75,-1.682743,0,75
76,-1.518589,0,76
77,-1.172787,0,77
78,-1.805599,0,78
79,-0.695655,0,79
80,0.921037,1,80
81,-0.830511,0,81
82,-0.887645,0,82
83,-1.343953,0,83
84,-0.482676,0,84
85,-0.888016,0,85
86,1.250834,1,86
87,-1.264429,0,87
88,-1.208592,0,88
89,-1.134744,0,89
90,1.012701,0,90
91,-0.282632,0,91
92,0.083138,0,92
93,-1.508825,0,93
94,1.152626,0,94
95,1.367770,1,95
96,0.467599,0,96
97,1.353839,0,97
98,-1.993175,0,98
99,1.552923,0,99
100,0.334117,0,100
101,1.638592,0,101
102,0.503013,0,102
103,1.376656,0,103
104,1.604431,0,104
105,1.418219,0,105
106,1.426411,0,106
107,1.534520,0,107
108,0.559704,0,108
109,0.831184,0,109
110,1.820346,1,110
111,1.757734,0,111
112,1.336829,0,112
113,1.440521,0,113
114,1.395647,0,114
